ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
337,Leon King, SCO,DF,Rangers,18,2004,6,3,374,4.2,0,0,0,0,0
338,Simon Kjær, DEN,DF,Milan,33,1989,6,6,508,5.6,0,0,0,0,0
339,Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,6,6,495,5.5,0,0,0,0,0
340,Davy Klaassen, NED,MF,Ajax,29,1993,5,2,212,2.4,1,0,1,1,0
341,Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,1,0,45,0.5,1,0,1,1,0
342,Lukas Klostermann, GER,DF,RB Leipzig,26,1996,2,1,56,0.6,0,0,0,0,0
343,Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,6,3,293,3.3,0,1,1,0,0
344,Gregor Kobel, SUI,GK,Dortmund,24,1997,4,4,315,3.5,0,0,0,0,0
345,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6,6,540,6.0,0,0,0,0,0
346,Sekou Koita, MLI,FW,RB Salzburg,22,1999,2,0,20,0.2,0,0,0,0,0
347,Koke, ESP,MF,Atlético Madrid,30,1992,4,4,329,3.7,0,0,0,0,0
348,Sead Kolašinac, BIH,DF,Marseille,29,1993,4,1,151,1.7,0,0,0,0,0
349,Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,7,7,515,5.7,2,0,2,2,0
350,Ibrahima Konaté, FRA,DF,Liverpool,23,1999,3,3,258,2.9,0,0,0,0,0
351,Geoffrey Kondogbia, CTA,MF,Atlético Madrid,29,1993,3,2,225,2.5,0,0,0,0,0
352,Yukhym Konoplia, UKR,DF,Shakhtar,22,1999,5,5,418,4.6,0,0,0,0,0
353,Jan Kopic, CZE,"FW,MF",Viktoria Plzeň,32,1990,2,2,81,0.9,0,0,0,0,0
354,Odilon Kossonou, CIV,DF,Leverkusen,21,2001,5,5,428,4.8,0,0,0,0,0
355,Filip Kostić, SRB,"DF,FW",Juventus,29,1992,6,5,428,4.8,0,1,1,0,0
356,Kalidou Koulibaly, SEN,DF,Chelsea,31,1991,7,7,568,6.3,0,0,0,0,0
357,Jules Koundé, FRA,DF,Barcelona,23,1998,3,3,246,2.7,0,1,1,0,0
358,Mateo Kovačić, CRO,MF,Chelsea,28,1994,8,8,621,6.9,1,0,1,1,0
359,Adam Kronus, CZE,FW,Viktoria Plzeň,20,2002,1,0,3,0.0,0,0,0,0,0
360,Toni Kroos, GER,MF,Real Madrid,32,1990,12,10,842,9.4,0,2,2,0,0
361,Rade Krunić, BIH,"MF,FW",Milan,28,1993,11,9,823,9.1,1,0,1,1,0
362,Dmytro Kryskiv, UKR,MF,Shakhtar,21,2000,1,0,10,0.1,0,0,0,0,0
363,Serhiy Kryvtsov, UKR,DF,Shakhtar,31,1991,2,0,6,0.1,0,0,0,0,0
364,Dejan Kulusevski, SWE,"MF,DF",Tottenham,22,2000,4,2,200,2.2,0,0,0,0,0
365,Khvicha Kvaratskhelia, GEO,FW,Napoli,21,2001,9,9,692,7.7,2,4,6,1,1
366,Konrad Laimer, AUT,"MF,FW",RB Leipzig,25,1997,3,3,261,2.9,0,0,0,0,0
367,Érik Lamela, ARG,"FW,MF",Sevilla,30,1992,5,2,278,3.1,0,0,0,0,0
368,Noa Lang, NED,FW,Club Brugge,23,1999,4,4,290,3.2,0,0,0,0,0
369,Aymeric Laporte, ESP,DF,Manchester City,28,1994,4,3,292,3.2,0,0,0,0,0
370,Cyle Larin, CAN,"FW,MF",Club Brugge,27,1995,1,0,12,0.1,0,0,0,0,0
371,Rasmus Lauritsen, DEN,DF,Dinamo Zagreb,26,1996,1,0,15,0.2,0,0,0,0,0
372,Neta Lavi, ISR,MF,Maccabi Haifa,25,1996,6,5,469,5.2,0,0,0,0,0
373,Rafael Leão, POR,"FW,MF",Milan,23,1999,11,11,907,10.1,1,4,5,1,0
374,Thomas Lemar, FRA,MF,Atlético Madrid,26,1995,2,1,104,1.2,0,0,0,0,0
375,Clément Lenglet, FRA,DF,Tottenham,27,1995,7,6,508,5.6,1,0,1,1,0
376,Christopher Lenz, GER,DF,Eint Frankfurt,27,1994,5,4,225,2.5,0,0,0,0,0
377,Lukas Lerager, DEN,MF,FC Copenhagen,29,1993,6,5,450,5.0,0,0,0,0,0
378,Robert Lewandowski, POL,FW,Barcelona,33,1988,5,5,441,4.9,5,0,5,5,0
379,Rico Lewis, ENG,DF,Manchester City,17,2004,2,1,119,1.3,1,0,1,1,0
380,Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,7,7,614,6.8,0,0,0,0,0
381,Jesper Lindstrøm, DEN,"MF,FW",Eint Frankfurt,22,2000,7,7,508,5.6,1,0,1,1,0
382,Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6,6,540,6.0,0,0,0,0,0
383,Robert Ljubicic, AUT,"FW,DF",Dinamo Zagreb,23,1999,6,6,540,6.0,1,0,1,1,0
384,Marcos Llorente, ESP,"MF,FW",Atlético Madrid,27,1995,3,3,212,2.4,0,0,0,0,0
